,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,year,month,day,day_of_week,hour
27,3.9,1313,12.8,1076,240,136,1707,1285,9.1,64.0,0.7419,2004,3,11,4,21
28,1.5,965,4.7,749,94,85,1333,821,8.2,63.4,0.6905,2004,3,11,4,22
29,1.0,913,2.6,629,47,53,1252,552,8.2,60.8,0.6657,2004,3,11,4,23
30,1.7,1080,5.9,805,122,97,1375,816,8.3,58.5,0.6438,2004,3,12,5,0
31,1.9,1044,6.4,829,133,110,1378,832,7.7,59.7,0.6308,2004,3,12,5,1
32,1.4,988,4.1,718,82,91,1304,692,7.1,61.8,0.6276,2004,3,12,5,2
33,0.8,889,1.9,574,141,96,1187,512,7.0,62.3,0.6261,2004,3,12,5,3
34,1.5,831,1.1,506,21,32,1134,384,6.1,65.9,0.6248,2004,3,12,5,4
35,0.6,847,1.0,501,30,44,1155,394,6.3,65.0,0.6233,2004,3,12,5,5
36,0.8,927,1.8,571,56,71,1223,487,6.8,62.9,0.6234,2004,3,12,5,6
37,1.4,1091,4.4,730,109,104,1361,748,6.4,65.1,0.6316,2004,3,12,5,7
38,4.4,1587,17.9,1236,307,141,1900,1400,7.3,63.1,0.6499,2004,3,12,5,8
39,1.5,1545,22.1,1353,141,96,2058,1588,9.2,56.2,0.6561,2004,3,12,5,9
40,3.1,1350,14.0,1118,187,122,1712,1237,13.2,41.7,0.632,2004,3,12,5,10
41,2.7,1263,11.6,1037,216,143,1598,1167,14.3,38.4,0.6243,2004,3,12,5,11
42,2.1,1206,10.2,986,143,113,1537,959,15.0,36.5,0.6195,2004,3,12,5,12
43,2.5,1252,11.0,1016,160,116,1593,983,16.1,34.5,0.6262,2004,3,12,5,13
44,2.7,1287,12.8,1078,163,123,1660,1061,16.3,35.7,0.656,2004,3,12,5,14
45,2.9,1353,14.2,1122,190,126,1740,1139,15.8,37.0,0.661,2004,3,12,5,15
46,2.8,1309,12.7,1073,178,120,1657,1112,15.9,37.2,0.6657,2004,3,12,5,16
47,2.4,1274,11.7,1041,150,119,1610,994,16.9,34.3,0.6549,2004,3,12,5,17
48,3.9,1510,19.3,1277,206,149,1910,1410,15.1,39.6,0.6766,2004,3,12,5,18
49,3.7,1525,18.2,1246,202,145,1847,1448,14.4,43.4,0.7084,2004,3,12,5,19
50,6.6,1843,32.6,1610,340,170,2390,1887,12.9,50.5,0.7478,2004,3,12,5,20
51,4.4,1598,20.1,1299,274,149,1941,1627,12.1,53.3,0.7536,2004,3,12,5,21
52,3.5,1484,14.3,1127,253,139,1723,1491,11.0,59.1,0.774,2004,3,12,5,22
53,5.4,1677,21.8,1346,300,134,2062,1657,9.7,64.6,0.7771,2004,3,12,5,23
54,2.7,1280,9.6,964,193,113,1544,1285,9.5,64.1,0.7597,2004,3,13,6,0
55,1.9,1196,7.4,873,139,97,1463,1144,9.1,63.9,0.7423,2004,3,13,6,1
56,1.6,1184,5.4,782,83,82,1365,1043,8.8,63.9,0.7256,2004,3,13,6,2
57,1.7,1172,5.4,783,141,96,1380,996,7.8,67.5,0.7173,2004,3,13,6,3
58,1.5,1147,6.2,821,109,83,1412,992,7.0,71.1,0.7158,2004,3,13,6,4
59,1.0,978,2.6,625,62,65,1274,819,8.3,63.6,0.6982,2004,3,13,6,5
60,1.2,1100,2.9,646,53,60,1268,835,7.2,67.5,0.6887,2004,3,13,6,6
61,1.5,1112,5.1,770,139,77,1409,940,6.3,71.9,0.6932,2004,3,13,6,7
62,2.7,1336,11.8,1043,256,96,1678,1192,6.5,71.6,0.6945,2004,3,13,6,8
63,3.7,1408,15.1,1153,295,119,1777,1411,9.6,59.7,0.7124,2004,3,13,6,9
64,3.2,1447,12.9,1081,250,126,1667,1465,12.4,51.2,0.7335,2004,3,13,6,10
65,4.1,1542,16.1,1184,296,158,1780,1583,15.6,42.2,0.7451,2004,3,13,6,11
66,3.6,1451,14.0,1117,239,161,1679,1387,18.4,33.8,0.709,2004,3,13,6,12
67,2.8,1328,12.3,1059,153,124,1600,1101,19.4,31.3,0.695,2004,3,13,6,13
68,2.0,1207,8.6,924,118,102,1488,850,18.0,34.8,0.7127,2004,3,13,6,14
69,2.0,1240,9.2,947,119,116,1532,947,18.4,33.6,0.7042,2004,3,13,6,15
70,2.5,1306,10.2,987,138,124,1554,1078,17.6,35.1,0.7012,2004,3,13,6,16
71,2.3,1326,10.6,1000,148,125,1602,1084,16.7,37.8,0.7117,2004,3,13,6,17
72,3.2,1473,15.5,1163,227,148,1779,1395,16.1,41.0,0.7451,2004,3,13,6,18
73,4.2,1609,19.6,1286,277,165,1922,1612,15.8,42.4,0.7569,2004,3,13,6,19
74,4.2,1611,19.2,1274,279,161,1915,1697,15.7,44.1,0.7786,2004,3,13,6,20
75,4.2,1621,18.3,1247,283,159,1860,1886,15.3,46.8,0.8091,2004,3,13,6,21
76,3.1,1444,13.1,1089,214,143,1748,1624,14.6,48.6,0.806,2004,3,13,6,22
77,2.6,1418,10.9,1010,172,130,1603,1536,14.7,49.3,0.8193,2004,3,13,6,23
78,2.9,1534,11.0,1013,190,129,1611,1535,13.9,53.6,0.8498,2004,3,14,7,0
79,2.8,1484,11.9,1045,174,119,1624,1530,14.6,51.5,0.8536,2004,3,14,7,1
80,2.5,1367,8.6,925,128,104,1543,1337,12.5,58.9,0.8537,2004,3,14,7,2
81,2.4,1344,9.7,968,141,96,1620,1278,11.6,63.4,0.8674,2004,3,14,7,3
82,1.5,1130,5.2,773,70,82,1452,1051,12.1,61.1,0.8603,2004,3,14,7,4
83,1.2,1062,3.7,691,53,70,1377,929,11.5,63.1,0.8533,2004,3,14,7,5
84,1.0,1076,2.5,618,44,63,1333,872,11.6,62.2,0.8473,2004,3,14,7,6
85,0.9,1028,2.4,615,74,67,1340,853,10.4,67.6,0.853,2004,3,14,7,7
86,1.4,1155,4.2,722,101,84,1414,959,11.6,62.7,0.853,2004,3,14,7,8
87,1.6,1235,6.4,828,118,83,1527,1093,12.4,60.0,0.8627,2004,3,14,7,9
88,2.2,1332,8.6,923,144,98,1614,1225,14.5,53.1,0.8728,2004,3,14,7,10
89,2.8,1445,10.9,1009,176,114,1696,1355,16.9,46.1,0.8789,2004,3,14,7,11
90,2.8,1416,10.7,1002,161,119,1677,1262,19.3,38.3,0.8474,2004,3,14,7,12
91,2.0,1281,7.5,880,113,104,1525,980,21.2,31.4,0.7812,2004,3,14,7,13
92,1.8,1207,7.5,879,103,102,1490,872,21.4,30.2,0.7616,2004,3,14,7,14
93,1.9,1258,8.2,906,112,107,1511,900,21.9,29.0,0.7525,2004,3,14,7,15
94,3.0,1458,11.9,1045,170,129,1646,1099,22.2,28.4,0.7516,2004,3,14,7,16
95,2.9,1438,12.0,1051,180,128,1668,1206,21.3,30.8,0.7696,2004,3,14,7,17
96,2.5,1478,12.2,1055,160,121,1671,1262,19.7,36.7,0.8307,2004,3,14,7,18
97,4.6,1808,20.6,1312,261,157,1993,1698,18.4,41.7,0.8732,2004,3,14,7,19
98,5.9,1898,23.1,1381,325,173,2103,1905,17.6,46.1,0.921,2004,3,14,7,20
99,3.4,1560,14.7,1140,217,146,1818,1648,16.7,49.6,0.932,2004,3,14,7,21
100,2.1,1324,9.0,940,146,121,1587,1423,16.3,51.0,0.9341,2004,3,14,7,22
101,2.2,1349,8.8,933,152,119,1617,1349,14.7,55.9,0.9314,2004,3,14,7,23
102,1.8,1239,7.4,872,104,99,1547,1250,14.8,54.7,0.9164,2004,3,15,1,0
103,1.8,1239,6.9,853,106,93,1543,1174,14.0,57.0,0.9094,2004,3,15,1,1
104,1.8,1224,7.0,855,108,88,1566,1149,13.4,61.3,0.9361,2004,3,15,1,2
105,1.1,1078,4.4,734,141,96,1487,1021,12.6,63.5,0.923,2004,3,15,1,3
106,1.5,1078,4.0,711,66,71,1468,1013,12.3,65.4,0.9351,2004,3,15,1,4
107,1.0,1075,3.9,703,88,74,1464,1010,11.9,67.4,0.9375,2004,3,15,1,5
108,1.4,1157,6.4,830,138,80,1584,1083,11.4,70.5,0.9475,2004,3,15,1,6
109,2.2,1314,9.7,966,228,89,1710,1235,11.3,70.2,0.9401,2004,3,15,1,7
111,8.1,1961,36.7,1701,478,149,2665,2184,14.8,54.3,0.9076,2004,3,15,1,9
112,5.8,1771,26.6,1470,394,157,2262,1973,17.4,45.6,0.8993,2004,3,15,1,10
113,4.2,1564,20.1,1300,319,155,2029,1798,19.8,38.5,0.8801,2004,3,15,1,11
114,3.1,1430,14.1,1120,201,134,1783,1522,22.0,34.1,0.8904,2004,3,15,1,12
115,2.9,1417,14.9,1146,171,119,1831,1404,23.3,32.2,0.9096,2004,3,15,1,13
116,2.9,1400,15.4,1162,159,111,1829,1263,23.9,30.0,0.8757,2004,3,15,1,14
117,2.5,1317,12.1,1053,153,104,1707,1137,24.4,28.9,0.8736,2004,3,15,1,15
118,2.3,1318,11.5,1033,143,99,1675,1068,24.4,29.4,0.8848,2004,3,15,1,16
119,2.8,1445,14.8,1141,156,110,1824,1252,23.8,31.3,0.9137,2004,3,15,1,17
120,6.1,1917,32.1,1601,314,162,2447,1843,22.5,35.4,0.9547,2004,3,15,1,18
121,8.0,2040,39.2,1754,404,187,2679,2122,20.4,42.5,1.0086,2004,3,15,1,19
122,6.5,1895,31.0,1573,320,165,2443,1992,18.3,52.6,1.0945,2004,3,15,1,20
123,4.2,1595,19.9,1294,256,145,2058,1707,16.7,57.4,1.0786,2004,3,15,1,21
124,3.2,1439,15.3,1159,193,125,1856,1494,15.7,60.2,1.0654,2004,3,15,1,22
125,1.4,1142,6.9,852,89,101,1547,1164,15.3,61.4,1.058,2004,3,15,1,23
126,2.1,1304,11.1,1019,127,103,1731,1272,14.1,65.7,1.0494,2004,3,16,2,0
127,1.2,1074,5.4,784,79,88,1483,1040,14.8,60.6,1.0148,2004,3,16,2,1
128,0.8,968,2.8,640,43,61,1386,867,14.8,59.2,0.9879,2004,3,16,2,2
129,0.7,929,2.3,608,141,96,1364,826,13.6,62.1,0.9636,2004,3,16,2,3
130,1.5,941,2.6,626,59,59,1373,840,12.3,66.2,0.945,2004,3,16,2,4
131,0.6,937,2.0,585,38,52,1348,793,12.8,63.2,0.9283,2004,3,16,2,5
132,0.9,1017,3.5,681,82,64,1418,870,11.2,68.5,0.9081,2004,3,16,2,6
133,1.3,1171,5.1,770,99,70,1467,930,11.0,66.5,0.8705,2004,3,16,2,7
134,3.4,1541,16.2,1185,263,97,1889,1407,11.7,63.7,0.8719,2004,3,16,2,8
135,3.7,1539,19.7,1287,229,95,2055,1507,13.6,56.3,0.8743,2004,3,16,2,9
136,5.3,1735,25.1,1431,396,150,2211,1843,17.8,42.9,0.8672,2004,3,16,2,10
137,4.1,1571,20.0,1297,314,162,1973,1729,21.4,33.3,0.8417,2004,3,16,2,11
138,3.3,1452,18.3,1250,217,154,1868,1583,24.4,27.4,0.8231,2004,3,16,2,12
139,4.0,1579,22.3,1359,252,161,1998,1671,25.3,26.1,0.8264,2004,3,16,2,13
140,3.8,1466,20.4,1309,263,161,1897,1491,25.8,23.2,0.7589,2004,3,16,2,14
141,2.8,1280,14.6,1136,180,128,1675,1240,27.0,20.2,0.7094,2004,3,16,2,15
142,2.9,1407,16.6,1197,184,129,1759,1313,28.2,18.6,0.7014,2004,3,16,2,16
143,2.9,1389,15.8,1173,190,133,1739,1363,28.0,19.1,0.7098,2004,3,16,2,17
144,3.4,1447,17.8,1235,184,139,1778,1296,23.9,25.7,0.7519,2004,3,16,2,18
145,3.9,1551,19.1,1271,181,137,1875,1432,21.3,34.8,0.873,2004,3,16,2,19
146,3.2,1474,15.8,1173,166,143,1776,1432,20.4,36.7,0.8704,2004,3,16,2,20
147,5.1,1800,24.9,1426,317,177,2106,2034,19.0,41.3,0.9007,2004,3,16,2,21
148,2.6,1379,13.5,1101,184,138,1710,1602,17.9,45.9,0.9342,2004,3,16,2,22
149,1.7,1201,9.1,943,130,117,1560,1362,16.7,48.9,0.9226,2004,3,16,2,23
150,1.7,1205,8.6,925,132,107,1547,1314,15.5,52.9,0.9271,2004,3,17,3,0
151,1.2,1072,5.4,784,95,90,1442,1114,15.5,51.9,0.9059,2004,3,17,3,1
152,0.9,998,4.1,714,70,79,1383,992,14.1,55.6,0.891,2004,3,17,3,2
153,0.7,933,2.6,625,141,96,1332,884,13.1,57.9,0.8666,2004,3,17,3,3
154,1.5,883,1.9,577,54,60,1303,808,12.7,57.9,0.8447,2004,3,17,3,4
155,0.5,869,1.6,554,28,40,1268,667,11.8,58.0,0.8026,2004,3,17,3,5
156,0.5,891,1.9,576,46,53,1289,733,11.9,57.4,0.7978,2004,3,17,3,6
157,1.6,1173,7.5,878,160,84,1556,1052,9.9,65.2,0.7956,2004,3,17,3,7
158,4.1,1587,21.4,1334,320,108,1999,1534,11.1,60.2,0.7958,2004,3,17,3,8
159,6.6,1852,36.4,1696,377,127,2535,1931,14.1,50.0,0.802,2004,3,17,3,9
160,4.3,1522,21.3,1331,280,134,2026,1734,17.7,40.1,0.8048,2004,3,17,3,10
161,2.9,1438,15.4,1161,221,135,1782,1595,21.1,33.4,0.8265,2004,3,17,3,11
162,2.5,1393,12.5,1067,210,142,1654,1490,24.3,28.3,0.8471,2004,3,17,3,12
163,2.8,1452,15.1,1152,204,153,1747,1508,25.6,25.6,0.8254,2004,3,17,3,13
164,2.6,1389,13.7,1108,161,123,1712,1334,25.9,25.9,0.8503,2004,3,17,3,14
165,2.0,1207,10.4,994,135,104,1520,1045,26.8,18.7,0.65,2004,3,17,3,15
166,2.9,1365,15.2,1154,186,129,1679,1221,29.3,15.8,0.6309,2004,3,17,3,16
167,2.5,1247,12.3,1060,147,114,1525,1069,28.5,14.9,0.5708,2004,3,17,3,17
168,5.0,1557,27.0,1478,299,158,1981,1569,25.9,16.0,0.5237,2004,3,17,3,18
169,7.6,1973,38.4,1737,411,194,2414,2306,23.1,26.5,0.7403,2004,3,17,3,19
170,6.7,1975,35.1,1667,347,182,2416,2359,20.5,38.2,0.9133,2004,3,17,3,20
171,5.7,1795,27.2,1485,336,180,2174,2050,19.1,42.6,0.9294,2004,3,17,3,21
172,2.8,1444,15.0,1150,202,136,1727,1727,17.2,44.1,0.8558,2004,3,17,3,22
173,2.6,1488,15.7,1171,178,127,1778,1705,16.0,50.9,0.9206,2004,3,17,3,23
174,2.3,1371,13.0,1083,154,116,1669,1551,14.8,53.9,0.9024,2004,3,18,4,0
175,1.4,1161,8.1,904,92,107,1502,1240,14.3,55.4,0.8975,2004,3,18,4,1
176,1.0,1064,5.5,787,61,88,1407,1115,14.8,52.1,0.8686,2004,3,18,4,2
177,0.7,970,3.6,687,141,96,1351,969,13.9,53.9,0.8501,2004,3,18,4,3
178,1.5,954,2.9,645,60,78,1334,925,11.6,61.9,0.8442,2004,3,18,4,4
179,0.6,931,2.5,623,37,57,1307,828,12.0,58.9,0.8233,2004,3,18,4,5
180,0.7,938,3.0,650,68,71,1333,893,10.9,62.1,0.8113,2004,3,18,4,6
181,1.5,1166,7.7,885,139,85,1551,1075,10.6,63.3,0.8067,2004,3,18,4,7
182,4.7,1643,23.3,1384,339,124,2094,1610,11.5,60.0,0.8117,2004,3,18,4,8
183,6.6,1934,35.8,1682,421,151,2468,2051,14.3,50.6,0.8186,2004,3,18,4,9
184,4.5,1617,21.3,1333,349,150,2010,1819,17.8,40.5,0.821,2004,3,18,4,10
185,2.8,1473,14.3,1127,224,152,1752,1568,20.8,34.4,0.8365,2004,3,18,4,11
186,2.2,1379,12.5,1068,171,139,1663,1374,23.8,28.2,0.8219,2004,3,18,4,12
187,2.2,1385,12.2,1056,149,133,1648,1268,24.2,28.7,0.8515,2004,3,18,4,13
188,2.3,1379,13.1,1087,137,126,1660,1144,25.2,24.9,0.7829,2004,3,18,4,14
189,2.2,1322,14.4,1129,149,128,1639,1109,27.0,17.8,0.6275,2004,3,18,4,15
190,2.8,1496,16.8,1205,172,169,1767,1347,27.1,23.1,0.818,2004,3,18,4,16
191,2.7,1409,14.5,1131,166,149,1689,1206,25.8,23.9,0.7832,2004,3,18,4,17
192,3.7,1513,21.5,1338,214,156,1957,1397,23.0,26.8,0.7446,2004,3,18,4,18
193,5.1,1667,26.4,1464,280,168,2118,1588,20.7,31.1,0.7523,2004,3,18,4,19
194,5.1,1667,26.0,1453,276,176,2051,1569,18.6,36.2,0.7676,2004,3,18,4,20
195,3.2,1430,14.1,1121,178,135,1732,1322,16.0,48.4,0.8768,2004,3,18,4,21
196,2.1,1333,10.3,989,129,121,1621,1194,14.5,57.8,0.9456,2004,3,18,4,22
197,1.7,1262,8.3,911,95,99,1545,1062,13.1,64.2,0.9606,2004,3,18,4,23
198,2.0,1287,8.9,936,126,106,1606,1040,12.0,69.7,0.9735,2004,3,19,5,0
199,1.6,1134,6.6,840,103,96,1501,917,11.9,71.1,0.9915,2004,3,19,5,1
200,0.9,999,3.6,688,48,63,1380,594,12.5,69.3,1.0029,2004,3,19,5,2
201,0.7,961,2.5,622,141,96,1301,430,12.5,67.5,0.9768,2004,3,19,5,3
202,1.5,934,1.8,569,20,32,1280,397,12.3,67.7,0.9665,2004,3,19,5,4
203,0.5,913,1.3,525,18,28,1260,370,12.5,66.8,0.962,2004,3,19,5,5
204,0.7,969,2.3,607,56,61,1324,438,12.3,66.3,0.9487,2004,3,19,5,6
205,1.5,1182,6.7,845,115,99,1539,704,12.4,64.9,0.9332,2004,3,19,5,7
206,4.8,1740,22.8,1372,320,157,2144,1476,13.0,61.6,0.9209,2004,3,19,5,8
207,6.2,1819,31.3,1582,357,166,2456,1716,13.6,58.8,0.912,2004,3,19,5,9
208,4.0,1427,19.2,1275,253,149,1980,1398,13.9,57.1,0.9032,2004,3,19,5,10
209,3.3,1390,16.4,1191,218,135,1879,1268,14.5,54.4,0.8917,2004,3,19,5,11
210,2.8,1283,14.0,1117,192,127,1751,1188,15.5,50.1,0.8744,2004,3,19,5,12
211,3.0,1304,15.3,1157,176,122,1801,1171,16.1,47.6,0.8655,2004,3,19,5,13
212,3.3,1364,16.7,1202,198,135,1875,1250,16.3,47.1,0.864,2004,3,19,5,14
213,3.5,1410,19.0,1268,212,139,1957,1344,16.4,47.5,0.8791,2004,3,19,5,15
214,4.0,1476,19.4,1280,249,147,1955,1378,16.1,50.2,0.9094,2004,3,19,5,16
215,4.6,1522,20.9,1320,270,158,2005,1435,16.0,50.7,0.9142,2004,3,19,5,17
216,4.1,1442,20.2,1301,231,146,1952,1372,15.8,50.3,0.8989,2004,3,19,5,18
217,4.5,1469,21.7,1344,251,144,1997,1471,15.5,50.6,0.884,2004,3,19,5,19
218,3.9,1467,19.8,1292,210,138,1942,1439,15.4,51.4,0.8956,2004,3,19,5,20
219,4.0,1421,16.7,1202,249,143,1854,1429,15.2,53.1,0.9117,2004,3,19,5,21
220,2.2,1175,9.1,945,143,116,1604,1081,14.7,57.6,0.9573,2004,3,19,5,22
221,2.1,1215,8.3,912,127,109,1547,993,14.2,58.3,0.938,2004,3,19,5,23
222,1.7,1127,5.8,802,104,92,1447,837,13.8,57.9,0.9085,2004,3,20,6,0
223,1.6,1090,5.2,773,86,83,1429,761,13.9,55.9,0.8842,2004,3,20,6,1
224,1.3,1017,4.1,718,74,81,1382,650,13.9,55.6,0.8765,2004,3,20,6,2
225,1.3,997,3.4,677,141,96,1359,591,13.8,55.1,0.8666,2004,3,20,6,3
226,1.5,945,2.9,646,44,55,1332,505,13.8,54.6,0.8574,2004,3,20,6,4
227,0.8,956,3.1,661,42,53,1351,518,13.6,55.1,0.856,2004,3,20,6,5
228,0.8,966,2.5,622,63,67,1342,571,13.6,59.0,0.9129,2004,3,20,6,6
229,1.1,1064,4.3,728,115,91,1461,842,13.5,58.4,0.896,2004,3,20,6,7
230,2.1,1300,8.9,935,170,113,1623,1145,13.8,58.0,0.9083,2004,3,20,6,8
231,2.4,1348,10.5,998,147,102,1689,1218,14.6,53.1,0.8765,2004,3,20,6,9
232,2.6,1425,12.5,1068,166,107,1764,1341,15.0,52.3,0.8881,2004,3,20,6,10
233,2.8,1474,12.3,1061,195,113,1768,1406,15.4,52.1,0.9046,2004,3,20,6,11
234,2.6,1490,11.7,1039,182,108,1757,1422,16.3,50.0,0.9158,2004,3,20,6,12
235,2.6,1495,11.7,1040,168,105,1735,1373,17.1,47.9,0.9281,2004,3,20,6,13
236,2.1,1376,9.3,953,125,93,1636,1153,19.0,42.9,0.937,2004,3,20,6,14
237,1.7,1305,7.6,884,95,87,1573,927,19.5,42.3,0.9476,2004,3,20,6,15
238,1.6,1283,6.7,844,79,76,1539,766,19.5,42.3,0.9493,2004,3,20,6,16
239,2.1,1392,9.7,967,119,94,1649,941,19.1,43.8,0.9556,2004,3,20,6,17
240,2.3,1452,12.4,1063,142,110,1774,1146,18.5,46.3,0.9744,2004,3,20,6,18
241,3.5,1633,16.6,1199,215,136,1919,1417,17.4,51.6,1.0159,2004,3,20,6,19
242,3.9,1625,16.4,1191,229,139,1885,1442,17.1,51.3,0.9914,2004,3,20,6,20
243,3.3,1535,13.7,1108,206,125,1820,1323,16.4,53.8,0.9964,2004,3,20,6,21
244,2.3,1323,9.9,973,147,111,1712,1125,16.2,55.4,1.0132,2004,3,20,6,22
245,2.1,1309,8.9,937,122,97,1672,1036,15.9,57.7,1.0356,2004,3,20,6,23
246,2.8,1456,10.6,999,175,107,1714,1202,15.7,58.6,1.0396,2004,3,21,7,0
247,2.1,1300,7.4,872,133,90,1577,1054,15.1,60.9,1.0398,2004,3,21,7,1
248,1.6,1203,6.2,823,89,84,1526,903,15.6,56.6,0.9951,2004,3,21,7,2
249,1.6,1195,6.5,836,141,96,1554,885,15.2,57.9,0.9941,2004,3,21,7,3
250,1.5,1117,5.8,802,85,87,1539,818,15.4,57.8,1.0021,2004,3,21,7,4
251,1.1,1062,4.0,711,55,66,1461,700,14.9,60.6,1.0196,2004,3,21,7,5
252,0.7,947,2.1,594,24,36,1390,580,14.5,63.0,1.0316,2004,3,21,7,6
253,0.8,1065,3.6,687,72,62,1492,815,14.2,66.2,1.063,2004,3,21,7,7
254,1.2,1155,4.4,734,122,91,1528,1035,14.5,65.3,1.0704,2004,3,21,7,8
255,1.4,1220,5.4,782,111,89,1560,1067,15.3,62.1,1.073,2004,3,21,7,9
256,1.7,1301,7.1,862,123,93,1633,1114,16.3,59.0,1.0868,2004,3,21,7,10
257,1.8,1279,7.3,870,106,81,1646,1000,18.9,49.6,1.07,2004,3,21,7,11
258,1.8,1267,7.6,883,103,82,1617,906,19.4,46.1,1.0249,2004,3,21,7,12
259,1.9,1239,6.8,848,102,80,1568,822,20.8,41.6,1.0091,2004,3,21,7,13
260,1.3,1128,4.6,742,48,48,1507,610,21.4,40.3,1.0126,2004,3,21,7,14
261,1.6,1243,8.4,916,63,61,1669,657,21.2,39.3,0.9791,2004,3,21,7,15
262,1.9,1208,6.9,853,98,89,1506,647,20.3,38.0,0.8942,2004,3,21,7,16
263,2.3,1306,9.0,938,132,105,1607,762,19.4,41.3,0.9206,2004,3,21,7,17
264,3.8,1546,15.1,1151,173,116,1874,1122,18.5,43.8,0.9252,2004,3,21,7,18
265,3.5,1501,12.6,1071,185,119,1744,1130,17.8,48.1,0.9689,2004,3,21,7,19
266,4.3,1605,15.1,1153,266,144,1840,1637,17.9,46.9,0.952,2004,3,21,7,20
267,2.8,1316,9.9,974,188,123,1673,1272,17.4,49.1,0.9688,2004,3,21,7,21
268,1.9,1195,8.0,898,122,105,1594,1098,17.0,51.7,0.9914,2004,3,21,7,22
269,1.9,1211,7.9,896,112,93,1624,1066,16.4,55.1,1.0198,2004,3,21,7,23
270,1.7,1161,6.1,815,93,86,1582,909,16.1,60.0,1.0919,2004,3,22,1,0
271,1.5,1095,5.1,767,74,76,1547,818,15.8,60.5,1.0805,2004,3,22,1,1
272,0.6,897,1.7,563,23,33,1355,472,16.3,57.0,1.0491,2004,3,22,1,2
273,0.4,842,0.7,468,141,96,1274,394,16.9,53.9,1.0309,2004,3,22,1,3
274,1.5,854,0.8,481,17,27,1304,396,16.1,55.9,1.0153,2004,3,22,1,4
275,0.3,845,0.7,472,15,23,1278,378,16.5,53.9,1.0049,2004,3,22,1,5
276,0.6,942,2.0,586,41,46,1373,432,16.4,54.0,0.9979,2004,3,22,1,6
277,1.2,1090,5.1,768,86,76,1538,699,15.7,57.6,1.0195,2004,3,22,1,7
278,3.6,1514,17.7,1230,226,116,1996,1252,15.8,53.7,0.9571,2004,3,22,1,8
279,3.7,1379,18.4,1252,214,115,1962,1237,17.4,42.1,0.8281,2004,3,22,1,9
280,1.8,1074,6.9,854,115,83,1484,772,17.9,38.4,0.7793,2004,3,22,1,10
281,1.6,1090,7.3,868,124,87,1509,766,18.5,36.7,0.7764,2004,3,22,1,11
282,1.9,1110,9.6,964,122,90,1577,829,21.0,29.6,0.7263,2004,3,22,1,12
